# Program:featureCounts v2.0.2; Command:"featureCounts" "-p" "-a" "Caulerpa_racemosa_v2.gtf" "-G" "/bigdata/stajichlab/shared/projects/Caulerpa/annotation/filtered_annotate/v2/v2/Caulerpa_racemosa_v2.scaffolds.fa" "-T" "16" "-o" "results/STAR/Caulerpa_racemosa_v2.featureCounts.tsv" "-g" "gene_id" "-J" "-F" "GTF" "results/STAR/Caulerpa_racemosa_v2.Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	results/STAR/Caulerpa_racemosa_v2.Aligned.sortedByCoord.out.bam
CRAC_009676-T2	scaffold_23	397259	399372	+	2114	0
CRAC_009677-T1	scaffold_23;scaffold_23	399423;399719	399529;401063	+;+	1452	0
CRAC_009678-T1	scaffold_23;scaffold_23	401375;401494	401444;403448	+;+	2025	0
CRAC_009679-T1	scaffold_23;scaffold_23;scaffold_23;scaffold_23	407746;408393;408724;408986	407922;408677;408944;409382	+;+;+;+	1080	0
CRAC_009680-T1	scaffold_23;scaffold_23;scaffold_23	411467;411716;411972	411676;411925;413042	+;+;+	1491	0
CRAC_009681-T1	scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23	413780;413886;414321;414488;414816;414953;415099	413841;414279;414443;414772;414907;415054;415370	+;+;+;+;+;+;+	1330	0
CRAC_009682-T1	scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23	415417;415645;415788;415924;416448	415602;415745;415882;416402;416516	+;+;+;+;+	930	0
CRAC_009683-T1	scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23	416947;417134;417497;417615;417759;417949;418169;418380;418712;418922;419157;419364;419533;419672;419816;419931;420121;420303	417083;417447;417570;417715;417900;418116;418327;418520;418879;419111;419311;419477;419619;419774;419882;420074;420257;421377	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3476	0
CRAC_009684-T1	scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23	421378;421637;422233;422481;422757	421587;422184;422431;422709;422768	-;-;-;-;-	1198	0
CRAC_009685-T1	scaffold_23;scaffold_23;scaffold_23;scaffold_23	422867;424876;425484;425742	423286;425440;425697;425893	-;-;-;-	1351	0
CRAC_009687-T1	scaffold_23;scaffold_23	426209;426517	426470;427455	+;+	1201	0
CRAC_009688-T1	scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23	427501;427605;428017;428425;428606	427557;427973;428383;428559;428796	+;+;+;+;+	1119	0
CRAC_009689-T1	scaffold_23;scaffold_23;scaffold_23	428867;429915;430164	429868;430124;430331	-;-;-	1380	0
CRAC_009690-T1	scaffold_23	430748	432074	+	1327	0
CRAC_009691-T1	scaffold_23;scaffold_23;scaffold_23;scaffold_23	432322;432647;434344;434555	432606;434298;434420;434616	-;-;-;-	2076	0
CRAC_009692-T1	scaffold_23;scaffold_23	434988;435414	435362;435635	-;-	597	0
CRAC_009693-T1	scaffold_23;scaffold_23	435705;436380	436338;436728	-;-	983	0
CRAC_009694-T1	scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23	437805;438297;438564;438903;440064;440235;440418;440717;441702;442630;442852	438256;438517;438848;440022;440191;440368;440662;441651;442584;442786;443011	-;-;-;-;-;-;-;-;-;-;-	4720	0
CRAC_009695-T1	scaffold_23;scaffold_23;scaffold_23;scaffold_23	441088;442630;442852;445785	442584;442786;445735;445931	-;-;-;-	4685	0
CRAC_009696-T1	scaffold_23;scaffold_23	446030;447704	447519;447756	-;-	1543	0
CRAC_009697-T1	scaffold_23;scaffold_23	451423;454533	454350;454676	-;-	3072	0
CRAC_009698-T1	scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23	454796;454946;455119;455224;455473;455583	454903;455078;455177;455430;455538;456708	+;+;+;+;+;+	1699	0
CRAC_009699-T1	scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23	456798;456922;457220;458326;458746;459048;460383;460629;460931;461313;461466;461668;461894;462145	456881;457174;458283;458704;459002;460333;460581;460887;461271;461418;461617;461853;462100;462375	-;-;-;-;-;-;-;-;-;-;-;-;-;-	5004	0
CRAC_009700-T1	scaffold_23;scaffold_23;scaffold_23;scaffold_23	462433;462708;462874;463249	462668;462829;463164;463349	-;-;-;-	750	0
CRAC_009701-T1	scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23	463479;463679;463883;464030;464291;464573;464834;465000;465261;465392;465664;466038;466419;466615;466726;466807	463626;463835;463985;464245;464521;464779;464951;465216;465346;465651;465981;466372;466566;466680;466765;466865	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2709	0
CRAC_009702-T1	scaffold_23;scaffold_23;scaffold_23	466899;467237;467466	467190;467421;467642	-;-;-	654	0
CRAC_009703-T1	scaffold_23;scaffold_23;scaffold_23	469172;469266;469898	469219;469871;471142	+;+;+	1899	10
CRAC_009704-T1	scaffold_23;scaffold_23	471585;471763	471716;473100	+;+	1470	0
CRAC_009471-T1	scaffold_23	473282	473353	+	72	0
CRAC_009706-T1	scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23	473422;473607;473986;474398;474686;474826;475227;476173;476586;476770;476911;477025;477278	473556;473946;474246;474636;474776;475169;476120;476537;476717;476866;476979;477244;477306	-;-;-;-;-;-;-;-;-;-;-;-;-	3216	0
CRAC_009707-T1	scaffold_23;scaffold_23;scaffold_23	478597;478886;479118	478815;478978;479141	-;-;-	336	0
CRAC_009708-T1	scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23	479867;480123;480253;480876;481033;481208;481421	480074;480203;480833;480989;481155;481357;481459	-;-;-;-;-;-;-	1296	0
CRAC_009709-T1	scaffold_23;scaffold_23;scaffold_23;scaffold_23	481838;482003;482170;482368	481957;482125;482319;482391	-;-;-;-	417	0
CRAC_009710-T1	scaffold_23	482516	483115	+	600	0
CRAC_009711-T1	scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23	483220;483418;483604;483730;483971;484100;484218	483372;483562;483682;483927;484061;484177;484268	-;-;-;-;-;-;-	795	0
CRAC_009712-T1	scaffold_23	484337	485785	-	1449	0
CRAC_009713-T1	scaffold_23	486119	487765	+	1647	0
CRAC_009714-T1	scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23	486442;487657;488602;488748;489045;489201	487610;488554;488707;488996;489154;489455	-;-;-;-;-;-	2787	0
CRAC_009715-T1	scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23	489927;491081;491221;491363;491506;491649;491790;491931;492072;492212	491036;491179;491319;491461;491604;491747;491888;492029;492170;492328	+;+;+;+;+;+;+;+;+;+	2019	0
CRAC_009716-T1	scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23	492447;492494;492634;492775;492923	492452;492592;492732;492873;493063	+;+;+;+;+	444	0
CRAC_009717-T1	scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23	498870;499656;499763;499880;499999	499614;499719;499833;499955;500062	-;-;-;-;-	1020	0
CRAC_009718-T1	scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23	500481;502770;502960;503110;503728;504108;504502;504883;505511;505804;506236;506409;506979	502718;502913;503062;503477;504000;504380;504774;505458;505753;506182;506357;506933;507557	-;-;-;-;-;-;-;-;-;-;-;-;-	6096	0
CRAC_009719-T1	scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23	508014;511672;511863;512004;512135	511624;511811;511958;512090;512232	-;-;-;-;-	4032	0
CRAC_009720-T1	scaffold_23;scaffold_23;scaffold_23;scaffold_23	512409;513393;513535;513672	513338;513491;513627;513993	-;-;-;-	1444	0
CRAC_033802-T1	scaffold_23;scaffold_23	514289;515190	515148;515415	-;-	1086	0
CRAC_009721-T1	scaffold_23;scaffold_23	516296;516426	516403;517586	+;+	1269	0
CRAC_009722-T1	scaffold_23	517623	518267	+	645	0
CRAC_009723-T1	scaffold_23	519818	521609	+	1792	0
CRAC_009724-T1	scaffold_23;scaffold_23	522410;522913	522867;523482	+;+	1028	0
CRAC_009724-T2	scaffold_23	522410	523162	+	753	0
CRAC_009725-T1	scaffold_23;scaffold_23;scaffold_23;scaffold_23	523634;523774;523930;524043	523727;523891;523998;524394	+;+;+;+	633	0
CRAC_009726-T1	scaffold_23;scaffold_23;scaffold_23	524395;524981;525331	524940;525288;525540	-;-;-	1064	0
CRAC_009727-T1	scaffold_23;scaffold_23;scaffold_23	526193;526456;526694	526408;526637;526751	+;+;+	456	0
CRAC_009728-T1	scaffold_23;scaffold_23	526786;527278	527261;527287	-;-	486	0
CRAC_009729-T1	scaffold_23;scaffold_23	527833;527972	527923;528700	+;+	820	0
CRAC_009730-T1	scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23	528723;528915;529061;529293;529590;529810	528862;529015;529241;529541;529760;529840	+;+;+;+;+;+	873	0
CRAC_012430-T1	scaffold_230;scaffold_230;scaffold_230;scaffold_230	1;1065;2738;3498	1013;2682;3450;3747	-;-;-;-	3594	0
CRAC_012430-T2	scaffold_230;scaffold_230;scaffold_230	1;1065;3498	1013;3450;3747	-;-;-	3649	0
CRAC_012431-T1	scaffold_230;scaffold_230	3900;4162	4107;5585	+;+	1632	0
CRAC_012432-T1	scaffold_231;scaffold_231;scaffold_231;scaffold_231;scaffold_231;scaffold_231;scaffold_231;scaffold_231;scaffold_231;scaffold_231	1;172;1053;1243;1469;1662;1813;2081;2466;2567	119;1010;1199;1426;1616;1773;2041;2422;2525;2630	-;-;-;-;-;-;-;-;-;-	2244	0
CRAC_012432-T2	scaffold_231;scaffold_231;scaffold_231;scaffold_231;scaffold_231;scaffold_231;scaffold_231;scaffold_231;scaffold_231	1;172;1053;1243;1469;1662;1813;2081;2466	119;1010;1199;1426;1616;1773;2041;2422;2584	-;-;-;-;-;-;-;-;-	2239	0
CRAC_012433-T1	scaffold_231;scaffold_231	2710;2790	2742;4013	+;+	1257	0
CRAC_012434-T1	scaffold_231;scaffold_231;scaffold_231;scaffold_231;scaffold_231	4158;4243;4478;4593;4858	4196;4437;4553;4759;4962	+;+;+;+;+	582	0
CRAC_012435-T1	scaffold_231;scaffold_231;scaffold_231;scaffold_231;scaffold_231;scaffold_231	4751;5658;6059;6931;7112;7261	5615;6014;6890;7070;7205;7356	-;-;-;-;-;-	2384	0
CRAC_012436-T1	scaffold_232;scaffold_232;scaffold_232;scaffold_232;scaffold_232;scaffold_232;scaffold_232;scaffold_232;scaffold_232;scaffold_232;scaffold_232;scaffold_232;scaffold_232	1;84;225;366;506;646;786;934;1076;1217;1357;1498;2076	44;182;323;464;604;744;884;1032;1174;1315;1455;2019;2152	-;-;-;-;-;-;-;-;-;-;-;-;-	1633	0
CRAC_012437-T1	scaffold_232;scaffold_232;scaffold_232	3369;3546;3831	3503;3789;3973	+;+;+	522	0
CRAC_012438-T1	scaffold_232;scaffold_232;scaffold_232;scaffold_232;scaffold_232;scaffold_232;scaffold_232;scaffold_232;scaffold_232;scaffold_232;scaffold_232;scaffold_232;scaffold_232	5361;5551;5692;5835;5975;6115;6256;6398;6538;6679;6824;6965;7123	5501;5649;5790;5933;6073;6213;6354;6496;6636;6777;6922;7077;8071	-;-;-;-;-;-;-;-;-;-;-;-;-	2193	0
CRAC_012439-T1	scaffold_232;scaffold_232	8626;8841	8799;8978	+;+	312	0
CRAC_012440-T1	scaffold_233;scaffold_233	101;4394	4363;5980	-;-	5850	0
CRAC_012441-T1	scaffold_233;scaffold_233;scaffold_233;scaffold_233;scaffold_233	6697;6821;7381;7943;8021	6753;7332;7892;7992;8884	-;-;-;-;-	1995	0
CRAC_012442-T1	scaffold_234;scaffold_234;scaffold_234;scaffold_234	1;270;395;619	228;330;462;1289	-;-;-;-	1028	0
CRAC_012442-T2	scaffold_234;scaffold_234;scaffold_234	1;270;395	228;330;603	-;-;-	498	0
CRAC_012443-T1	scaffold_234;scaffold_234	2760;3265	3212;3288	-;-	477	0
CRAC_012444-T1	scaffold_234;scaffold_234;scaffold_234;scaffold_234	5165;5476;7966;8338	5424;7907;8284;8433	-;-;-;-	3107	0
CRAC_012445-T1	scaffold_235	8	887	-	880	0
CRAC_012446-T1	scaffold_235;scaffold_235;scaffold_235;scaffold_235	1354;1454;1646;1818	1409;1555;1726;1872	-;-;-;-	294	0
CRAC_012447-T1	scaffold_235;scaffold_235;scaffold_235;scaffold_235;scaffold_235;scaffold_235;scaffold_235;scaffold_235	2803;3129;3572;3763;3942;4200;4752;5215	3082;3527;3711;3895;4151;4693;5177;5350	-;-;-;-;-;-;-;-	2218	0
CRAC_012448-T1	scaffold_235;scaffold_235;scaffold_235	7323;7422;7619	7361;7544;7756	+;+;+	300	0
CRAC_012449-T1	scaffold_235;scaffold_235	8138;8257	8206;9158	+;+	971	0
CRAC_012450-T1	scaffold_236	4352	5709	-	1358	0
CRAC_012451-T1	scaffold_236;scaffold_236;scaffold_236;scaffold_236;scaffold_236;scaffold_236	7532;7716;8254;8465;8688;8900	7665;8205;8421;8646;8854;9133	-;-;-;-;-;-	1375	0
CRAC_012452-T1	scaffold_237;scaffold_237;scaffold_237;scaffold_237;scaffold_237;scaffold_237;scaffold_237	16;1471;1968;4159;4529;4637;4832	1416;1899;4102;4477;4589;4716;5000	-;-;-;-;-;-;-	4594	0
CRAC_012452-T2	scaffold_237;scaffold_237;scaffold_237;scaffold_237;scaffold_237	16;1471;1968;4637;4832	1416;1899;4589;4716;5000	-;-;-;-;-	4701	0
CRAC_012452-T3	scaffold_237;scaffold_237;scaffold_237;scaffold_237;scaffold_237;scaffold_237	16;1471;1968;4159;4637;4832	1416;1899;4102;4589;4730;4922	-;-;-;-;-;-	4581	0
CRAC_012453-T1	scaffold_237;scaffold_237;scaffold_237;scaffold_237	5225;6775;6936;7092	6710;6885;7040;7290	+;+;+;+	1901	0
CRAC_012454-T1	scaffold_238;scaffold_238;scaffold_238;scaffold_238;scaffold_238;scaffold_238;scaffold_238	481;675;788;899;1406;1567;3127	636;749;857;1343;1526;3078;3408	+;+;+;+;+;+;+	2661	0
CRAC_012455-T1	scaffold_238;scaffold_238;scaffold_238;scaffold_238;scaffold_238	3855;4057;4973;5227;5473	4011;4920;5168;5425;5970	+;+;+;+;+	1914	0
CRAC_012456-T1	scaffold_238;scaffold_238;scaffold_238;scaffold_238	6316;6506;6961;7139	6444;6916;7100;7331	-;-;-;-	873	0
CRAC_012457-T1	scaffold_238;scaffold_238	7608;8414	8395;9032	-;-	1407	0
CRAC_012458-T1	scaffold_239;scaffold_239;scaffold_239;scaffold_239;scaffold_239	2841;4107;4477;4717;5209	4049;4432;4666;5160;6556	+;+;+;+;+	3517	0
CRAC_012459-T1	scaffold_239;scaffold_239;scaffold_239;scaffold_239;scaffold_239	6591;6675;6813;6916;7288	6657;6724;6870;7234;8323	+;+;+;+;+	1530	0
CRAC_012460-T1	scaffold_239	8557	8832	-	276	0
CRAC_009731-T1	scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24	1842;2260;2398;2643;2827;2961;3174;3279;3603	2206;2353;2583;2771;2908;3119;3235;3443;3758	-;-;-;-;-;-;-;-;-	1398	0
CRAC_009732-T1	scaffold_24;scaffold_24;scaffold_24;scaffold_24	4189;4317;4477;5136	4270;4433;5090;5330	+;+;+;+	1008	0
CRAC_009733-T1	scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24	5594;5776;6089;6259;6412;6882	5729;6039;6205;6365;6831;7448	+;+;+;+;+;+	1611	0
CRAC_009734-T1	scaffold_24	7475	8161	-	687	0
CRAC_009735-T1	scaffold_24;scaffold_24	8362;9349	9294;9542	-;-	1127	0
CRAC_009736-T1	scaffold_24;scaffold_24	9609;12730	12683;13317	+;+	3663	0
CRAC_009737-T1	scaffold_24;scaffold_24	13333;14060	14017;15353	+;+	1979	0
CRAC_009738-T1	scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24	16482;16765;17330;17637;17718	16716;17280;17582;17674;17987	-;-;-;-;-	1312	0
CRAC_009739-T1	scaffold_24;scaffold_24;scaffold_24;scaffold_24	18257;18331;18569;18794	18281;18527;18741;19076	+;+;+;+	678	0
CRAC_009740-T1	scaffold_24;scaffold_24;scaffold_24;scaffold_24	19911;20214;20431;20867	20170;20383;20817;20916	-;-;-;-	867	0
CRAC_009741-T1	scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24	21782;22050;22493;22802;23118	22005;22440;22682;23044;24127	-;-;-;-;-	2058	0
CRAC_009742-T1	scaffold_24;scaffold_24	24385;25911	25866;26216	+;+	1788	0
CRAC_009743-T1	scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24	27738;27846;28004;28088;28249;28498;28770;29272;29454;29684;29853;30005;30245	27791;27953;28036;28197;28450;28724;29226;29403;29636;29806;29952;30162;30316	+;+;+;+;+;+;+;+;+;+;+;+;+	1959	0
CRAC_009744-T1	scaffold_24;scaffold_24	30528;31141	31094;31218	-;-	645	0
CRAC_009745-T1	scaffold_24;scaffold_24	31278;31579	31529;32051	+;+	725	0
CRAC_009745-T2	scaffold_24;scaffold_24;scaffold_24	31278;31579;31838	31529;31799;32051	+;+;+	687	0
CRAC_009746-T1	scaffold_24;scaffold_24;scaffold_24	32299;32810;32927	32760;32876;32937	-;-;-	540	0
CRAC_009747-T1	scaffold_24;scaffold_24;scaffold_24	33138;33271;33719	33226;33676;33967	+;+;+	744	0
CRAC_009748-T1	scaffold_24;scaffold_24;scaffold_24	34056;34153;34302	34099;34254;34449	-;-;-	294	0
CRAC_009749-T1	scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24	34535;34697;34802;34981;35169;35495;35771;35927;36102;36333;36544	34648;34750;34936;35117;35449;35720;35844;36047;36275;36461;37665	+;+;+;+;+;+;+;+;+;+;+	2567	0
CRAC_009749-T2	scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24	34535;34697;34802;34981;35169;35495;35771;35927;36102;36333;36544;37026	34648;34750;34936;35117;35449;35720;35844;36047;36275;36461;36830;37665	+;+;+;+;+;+;+;+;+;+;+;+	2372	0
CRAC_009750-T1	scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24	37654;38680;38846;39155;39266;39634	38637;38790;39111;39216;39499;39914	-;-;-;-;-;-	1938	12
CRAC_009751-T1	scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24	39934;40877;41242;41385;41534;41686;41880;42063;42309;42513;42854	40833;41192;41334;41473;41641;41828;42016;42259;42433;42685;43324	-;-;-;-;-;-;-;-;-;-;-	2752	0
CRAC_009751-T2	scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24	39934;40877;41242;41385;41534;41686;41880;42063;42309;42513	40833;41192;41334;41473;41641;41828;42016;42259;42433;43324	-;-;-;-;-;-;-;-;-;-	2920	0
CRAC_009752-T1	scaffold_24;scaffold_24;scaffold_24;scaffold_24	44177;44355;44483;44786	44311;44431;44739;45258	+;+;+;+	942	2
CRAC_009753-T1	scaffold_24;scaffold_24;scaffold_24;scaffold_24	45269;45782;46035;46376	45735;45977;46322;46588	-;-;-;-	1164	0
CRAC_009754-T1	scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24	46814;47093;47417;47580;47853;48059;48182;48576;48682	47045;47369;47532;47810;48009;48141;48523;48635;48913	-;-;-;-;-;-;-;-;-	1730	0
CRAC_009755-T1	scaffold_24;scaffold_24;scaffold_24	49142;49397;49529	49284;49477;49571	+;+;+	267	0
CRAC_009756-T1	scaffold_24;scaffold_24	49931;50257	50207;50525	+;+	546	0
CRAC_009757-T1	scaffold_24	50784	52502	+	1719	0
CRAC_009758-T1	scaffold_24	53031	54227	+	1197	0
CRAC_009759-T1	scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24	54780;54931;55011;55168;55340	54879;54969;55126;55293;55492	+;+;+;+;+	534	0
CRAC_009760-T1	scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24	55506;55726;55886;56061;56185	55682;55840;56014;56138;56321	-;-;-;-;-	636	0
CRAC_009761-T1	scaffold_24;scaffold_24;scaffold_24;scaffold_24	56380;57171;57919;58041	57126;57878;57993;58233	-;-;-;-	1723	0
CRAC_009761-T2	scaffold_24;scaffold_24	56380;57171	57126;58233	-;-	1810	0
CRAC_009762-T1	scaffold_24;scaffold_24	58209;61527	61473;61974	+;+	3713	0
CRAC_009763-T1	scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24	61974;62380;62563;62772;62880;63251;63518	62326;62514;62685;62834;63204;63475;65131	+;+;+;+;+;+;+	2838	2
CRAC_009764-T1	scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24	65170;65609;65748;66046;68373	65562;65704;66005;68331;69152	+;+;+;+;+	3813	0
CRAC_009765-T1	scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24	70009;70108;70218;70432;70566;70761;70995;71139;71399	70056;70169;70376;70516;70703;70940;71088;71351;71523	+;+;+;+;+;+;+;+;+	1104	0
CRAC_009766-T1	scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24	72087;72152;72352;72569;72678;72882;73015;73210;73442;73581;73837	72092;72259;72519;72630;72836;72966;73152;73389;73535;73793;74033	+;+;+;+;+;+;+;+;+;+;+	1410	0
CRAC_009767-T1	scaffold_24	74476	75672	-	1197	4
CRAC_009768-T1	scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24	75785;76105;76199;76410;76541;76719;76941;77084;77323	76063;76157;76360;76500;76678;76898;77034;77278;77456	+;+;+;+;+;+;+;+;+	1326	0
CRAC_009769-T1	scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24	77539;77818;78026;78136;78340;78475;78661;78881;79020	77735;77982;78087;78294;78418;78612;78837;78974;80317	+;+;+;+;+;+;+;+;+	2369	0
CRAC_009770-T1	scaffold_24;scaffold_24	79471;80112	80068;80275	-;-	762	0
CRAC_009771-T1	scaffold_24;scaffold_24;scaffold_24;scaffold_24	80362;80522;80726;80808	80473;80682;80770;81040	-;-;-;-	551	2
CRAC_009773-T1	scaffold_24;scaffold_24	81351;81464	81423;82479	+;+	1089	0
CRAC_009774-T1	scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24	82723;83435;83743;84372;84655	83376;83699;84327;84607;84714	-;-;-;-;-	1800	0
CRAC_009775-T1	scaffold_24	85137	87824	+	2688	0
CRAC_009776-T1	scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24	87916;88037;88344;88628;88915	87993;88210;88579;88872;89024	-;-;-;-;-	843	0
CRAC_009777-T1	scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24	89092;89980;90097;90308;90445;90634;90863;91009	89936;90041;90255;90389;90576;90819;90956;91421	+;+;+;+;+;+;+;+	1973	0
CRAC_009777-T2	scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24	89092;89772;89980;90097;90308;90445;90634;90863;91009	89618;89936;90041;90255;90389;90576;90819;90956;91421	+;+;+;+;+;+;+;+;+	1820	0
CRAC_009778-T1	scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24	92670;93133;93341;93457;93670;93807;94000;94228;94374	92977;93297;93402;93615;93751;93938;94185;94321;94858	+;+;+;+;+;+;+;+;+	1673	0
CRAC_009778-T2	scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24	92685;93133;93457;93670;93807;94000;94228;94374	92977;93402;93615;93751;93938;94185;94321;94851	+;+;+;+;+;+;+;+	1694	0
CRAC_009778-T3	scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24	92685;93133;93341;93457;93670;93807;94228	92977;93297;93402;93615;93751;94185;94851	+;+;+;+;+;+;+	1764	0
CRAC_009779-T1	scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24	97868;98184;98392;98508;98719;98826;99043;99273;99418	98023;98348;98453;98666;98800;98984;99228;99366;99752	+;+;+;+;+;+;+;+;+	1398	0
CRAC_009780-T1	scaffold_24	100545	101627	-	1083	0
CRAC_009781-T1	scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24	101868;102124;102246;102344;102469;102717;103113;103248;103426;103669;103816;104116;104985	102017;102199;102289;102420;102644;102967;103193;103361;103620;103764;104056;104939;105416	+;+;+;+;+;+;+;+;+;+;+;+;+	2757	0
CRAC_009781-T2	scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24	101868;102124;102246;102344;102469;102717;103113;103248;103426;103669;103816;104116;104466;104985	102017;102199;102289;102420;102644;102967;103193;103361;103620;103764;104056;104426;104939;105416	+;+;+;+;+;+;+;+;+;+;+;+;+;+	2718	0
CRAC_009782-T1	scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24	105652;105812;105934;106086;106384	105761;105893;106045;106339;106811	+;+;+;+;+	986	0
CRAC_009782-T2	scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24	105652;105934;106086;106233;106384	105893;106045;106193;106339;106679	+;+;+;+;+	865	0
CRAC_009783-T1	scaffold_24;scaffold_24	107072;108862	108809;109733	-;-	2610	0
CRAC_009784-T1	scaffold_24;scaffold_24;scaffold_24;scaffold_24	110619;110782;111606;111722	110736;111557;111667;112094	-;-;-;-	1329	0
