# Program:featureCounts v2.0.2; Command:"featureCounts" "-p" "-a" "Caulerpa_lentillifera_v2.gtf" "-G" "/bigdata/stajichlab/shared/projects/Caulerpa/annotation/filtered_annotate/v2/v2/Caulerpa_lentillifera_v2.scaffolds.fa" "-T" "16" "-o" "results/STAR/Caulerpa_lentillifera_v2.featureCounts.tsv" "-g" "gene_id" "-J" "-F" "GTF" "results/STAR/Caulerpa_lentillifera_v2.Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	results/STAR/Caulerpa_lentillifera_v2.Aligned.sortedByCoord.out.bam
CLENT_011574-T1	scaffold_181	1562	2218	-	657	2
CLENT_011575-T1	scaffold_181;scaffold_181	3831;4264	4187;4899	-;-	993	6
CLENT_011580-T1	scaffold_183	2115	4127	-	2013	0
CLENT_011581-T1	scaffold_183	4507	6393	+	1887	0
CLENT_011582-T1	scaffold_184	51	1328	-	1278	0
CLENT_011583-T1	scaffold_184	1394	2050	-	657	0
CLENT_011584-T1	scaffold_184	3493	4860	+	1368	0
CLENT_011585-T1	scaffold_184	5251	6037	+	787	0
CLENT_011586-T1	scaffold_186	752	1311	-	560	0
CLENT_011587-T1	scaffold_186	1521	2288	-	768	0
CLENT_011588-T1	scaffold_186	2963	3574	-	612	0
CLENT_011589-T1	scaffold_186	4278	6035	+	1758	0
CLENT_011590-T1	scaffold_187;scaffold_187	225;949	889;2041	+;+	1758	0
CLENT_011591-T1	scaffold_187;scaffold_187;scaffold_187	2558;5255;5708	5094;5667;6045	-;-;-	3288	0
CLENT_011592-T1	scaffold_188;scaffold_188;scaffold_188	310;939;1052	864;999;3450	+;+;+	3015	0
CLENT_011594-T1	scaffold_189;scaffold_189	400;1764	1745;2478	+;+	2061	2
CLENT_007949-T1	scaffold_19;scaffold_19	3798;4008	3949;4182	+;+	327	64
CLENT_007950-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	4236;4367;4491;4688;4823;5208;5316;5441	4316;4445;4631;4777;5157;5267;5382;5559	-;-;-;-;-;-;-;-	972	160
CLENT_007951-T1	scaffold_19;scaffold_19	5757;8115	8060;8363	-;-	2553	6994
CLENT_007952-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	8892;9071;9328;9516;9751;10901	9005;9277;9472;9693;10853;11043	-;-;-;-;-;-	1890	12794
CLENT_007953-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	11219;11470;11703;12092;12315;12517;12702;12861;12980;13228;13402;13634;13851;14221	11424;11659;12032;12266;12460;12644;12810;12929;13168;13356;13576;13795;14166;14566	-;-;-;-;-;-;-;-;-;-;-;-;-;-	2670	2114
CLENT_007954-T1	scaffold_19	14627	16394	+	1768	1898
CLENT_007955-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	16660;16928;17308;17543;17750;17965;18396	16870;17256;17492;17699;17893;18342;18437	-;-;-;-;-;-;-	1446	20167
CLENT_007956-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	18756;18930;19161;19340;19497;19654;19876;19994;20288;20462;20605	18883;19117;19283;19447;19602;19824;19947;20236;20414;20549;20633	-;-;-;-;-;-;-;-;-;-;-	1383	1110
CLENT_007957-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	20776;21051;21271;21424;21610;22083;22534;22651	20999;21219;21370;21567;22030;22486;22602;23387	+;+;+;+;+;+;+;+	2268	4840
CLENT_007958-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	23599;23785;23924;24036;24175;25492	23725;23875;23991;24129;25444;25650	+;+;+;+;+;+	1809	43644
CLENT_007959-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19	25177;25492;25702;25952	25444;25650;25893;27454	+;+;+;+	2122	1355
CLENT_007960-T1	scaffold_19;scaffold_19	26263;26554	26502;26694	-;-	381	0
CLENT_007961-T1	scaffold_19;scaffold_19	26776;27018	26977;27112	-;-	297	0
CLENT_007962-T1	scaffold_19;scaffold_19;scaffold_19	28390;28694;28857	28648;28803;29036	-;-;-	549	451
CLENT_007963-T1	scaffold_19;scaffold_19;scaffold_19	29618;30342;30605	30299;30557;31143	-;-;-	1437	7354
CLENT_007964-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	32172;32453;32562;32675;32830;32942;33129	32405;32509;32629;32784;32890;33083;33334	+;+;+;+;+;+;+	878	629
CLENT_007965-T1	scaffold_19	34591	39378	+	4788	3159
CLENT_007966-T1	scaffold_19;scaffold_19;scaffold_19	39390;39785;39925	39741;39879;40304	-;-;-	827	2537
CLENT_007967-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19	40320;40408;40653;40771	40332;40601;40721;40959	+;+;+;+	465	108
CLENT_007968-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	40727;41889;42298;42595;42849	41836;42240;42549;42801;43272	-;-;-;-;-	2345	34040
CLENT_007969-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19	43269;43640;43808;44641	43588;43753;44594;44775	-;-;-;-	1356	6792
CLENT_007970-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	44882;45188;45317;45439;45581;45675;45780	45147;45263;45391;45539;45631;45738;45916	-;-;-;-;-;-;-	770	1380
CLENT_007972-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19	45954;47985;48183;48313	47931;48135;48266;48830	+;+;+;+	2731	2098
CLENT_007971-T1	scaffold_19;scaffold_19	45954;46948	46905;47184	-;-	1189	0
CLENT_007973-T1	scaffold_19;scaffold_19;scaffold_19	49541;51267;51455	51137;51392;51663	-;-;-	1932	148913
CLENT_007974-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	51343;51455;54258;54387;54636	51392;54212;54337;54595;54673	-;-;-;-;-	3135	0
CLENT_007974-T2	scaffold_19;scaffold_19;scaffold_19;scaffold_19	51343;51455;54258;54523	51392;54212;54461;54673	-;-;-;-	3163	0
CLENT_007975-T1	scaffold_19;scaffold_19;scaffold_19	54842;55074;56467	55029;56403;57036	+;+;+	2088	2
CLENT_007976-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	55200;57537;57664;58271;58508;58630	57495;57620;58230;58468;58565;58719	-;-;-;-;-;-	3293	1369
CLENT_007977-T1	scaffold_19;scaffold_19	58808;58940	58900;59558	+;+	712	242
CLENT_007978-T1	scaffold_19	59666	61211	+	1546	3835
CLENT_007979-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19	61216;61905;62143;62442	61881;62094;62429;62534	+;+;+;+	1236	8
CLENT_007981-T1	scaffold_19;scaffold_19	64968;65909	65812;66794	-;-	1731	16842
CLENT_007983-T1	scaffold_19;scaffold_19	70035;70768	70723;71179	+;+	1101	8
CLENT_007984-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19	78080;78748;78941;79195	78699;78901;79137;80375	-;-;-;-	2152	2316
CLENT_007985-T1	scaffold_19;scaffold_19	80424;80686	80638;80896	-;-	426	3
CLENT_007986-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	81639;81966;82179;82311;82448	81923;82136;82261;82394;82514	-;-;-;-;-	690	8
CLENT_007987-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19	83068;83641;84167;84350	83585;84118;84305;84511	+;+;+;+	1297	0
CLENT_007987-T2	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	83068;83641;83920;84167;84350	83585;83882;84118;84305;84511	+;+;+;+;+	1260	0
CLENT_007988-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	84497;84865;86489;86650;86845	84811;86432;86607;86798;86952	-;-;-;-;-	2259	5882
CLENT_007989-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	87061;87475;87935;88109;88327	87424;87888;88058;88274;88911	-;-;-;-;-	1653	6476
CLENT_007990-T1	scaffold_19	92559	92951	+	393	62
CLENT_007991-T1	scaffold_19;scaffold_19	93115;93469	93266;93718	+;+	402	2
CLENT_007992-T1	scaffold_19;scaffold_19	94485;94839	94636;95088	+;+	402	0
CLENT_007993-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	97096;97265;97385;97523;97981;98074;98659;99023;99312;99508	97218;97343;97479;97938;98024;98597;98983;99272;99460;99869	+;+;+;+;+;+;+;+;+;+	2367	1744
CLENT_007994-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	100540;100673;100777;101047;101290	100630;100722;100995;101230;102986	+;+;+;+;+	2241	1985
CLENT_007995-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	103802;104139;104694;104830;105187;105529	104095;104650;104775;105115;105476;105681	-;-;-;-;-;-	1617	1660
CLENT_007996-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	105812;105987;106480;106624;106806;106930;107118;107528;107870	105930;106162;106575;106755;106879;107067;107472;107822;109535	+;+;+;+;+;+;+;+;+	3051	58831
CLENT_007997-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	109587;110135;110433;110678;111010;111304;111591;112522	110079;110384;110631;110945;111247;111540;111761;113524	+;+;+;+;+;+;+;+	2859	2644
CLENT_007997-T2	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	109587;110135;110433;110678;111010;111304;111591	110079;110384;110631;110945;111247;111540;112418	+;+;+;+;+;+;+	2513	2292
CLENT_007998-T1	scaffold_19;scaffold_19	115323;115414	115364;115536	-;-	165	349
CLENT_007999-T1	scaffold_19;scaffold_19	116097;116172	116105;116438	+;+	276	21
CLENT_008001-T1	scaffold_19;scaffold_19	118072;118595	118548;118911	+;+	794	221
CLENT_008002-T1	scaffold_19;scaffold_19	120716;121136	121090;121504	+;+	744	26
CLENT_008003-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	122027;122195;122429;122570;122772;123293;124630;124828;124987;125439;127543	122147;122384;122523;122726;123248;124587;124778;124943;125392;127484;129291	-;-;-;-;-;-;-;-;-;-;-	6801	1932
CLENT_008004-T1	scaffold_19	130147	131322	-	1176	21697
CLENT_008005-T1	scaffold_19;scaffold_19;scaffold_19	132459;132601;132786	132545;132735;134162	+;+;+	1599	4850
CLENT_008006-T1	scaffold_19;scaffold_19;scaffold_19	136102;136288;137172	136245;137133;137714	+;+;+	1533	244
CLENT_008007-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	138352;138570;138774;139048;139194;139369;140151;140509;140648;140883	138526;138727;138997;139142;139325;140106;140462;140606;140839;141327	+;+;+;+;+;+;+;+;+;+	2569	1443
CLENT_008008-T1	scaffold_19	142143	142634	+	492	6538
CLENT_008009-T1	scaffold_19	144894	145358	+	465	884
CLENT_008010-T1	scaffold_19;scaffold_19	145789;146217	146161;146335	+;+	492	2172
CLENT_008011-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	146507;146884;147046;147415;147536;147781	146845;146981;147361;147496;147735;148968	+;+;+;+;+;+	2223	0
CLENT_008011-T2	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	146507;146884;147046;147415;147536;147781;148227	146845;146981;147361;147496;147735;148168;148968	+;+;+;+;+;+;+	2165	0
CLENT_008012-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	149077;149707;149874;149974;150160	149657;149817;149929;150117;150710	+;+;+;+;+	1443	0
CLENT_008012-T2	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	149077;149361;149707;149874;150160	149305;149657;149817;150117;150710	+;+;+;+;+	1432	0
CLENT_008012-T3	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	149077;149361;149707;149874;149974;150160	149305;149657;149817;149929;150117;150710	+;+;+;+;+;+	1388	0
CLENT_008012-T4	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	149077;149361;149707;149874;149974	149305;149657;149817;149929;150598	+;+;+;+;+	1318	0
CLENT_008012-T5	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	149077;149361;149707;149874;149974;150160	149305;149657;149817;149929;150113;150561	+;+;+;+;+;+	1235	0
CLENT_008013-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19	150751;151285;151748;151974	151242;151707;151930;152170	+;+;+;+	1295	429
CLENT_008014-T1	scaffold_19;scaffold_19	153621;154031	153989;154324	+;+	663	5
CLENT_008015-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19	156369;156811;157789;158154	156764;156999;158112;158399	+;+;+;+	1155	27
CLENT_008016-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19	158768;159019;159216;159578	158962;159174;159531;160344	+;+;+;+	1434	2298
CLENT_008017-T1	scaffold_19;scaffold_19;scaffold_19	160522;160786;161073	160743;161025;161414	+;+;+	804	992
CLENT_008018-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	161572;161715;161858;161973;162061;162241	161664;161813;161935;162018;162186;162320	+;+;+;+;+;+	522	1522
CLENT_008019-T1	scaffold_19;scaffold_19	162164;162693	162642;163097	-;-	884	4122
CLENT_008020-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19	163510;163916;164091;164447	163653;164047;164393;164905	+;+;+;+	1038	8389
CLENT_008021-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	166780;166889;166990;167087;167254	166842;166945;167044;167196;167331	-;-;-;-;-	363	382
CLENT_008022-T1	scaffold_19;scaffold_19	167559;168546	168494;168578	-;-	969	22841
CLENT_008023-T1	scaffold_19;scaffold_19	168739;171184	171134;171273	-;-	2486	17008
CLENT_008024-T1	scaffold_19;scaffold_19	171392;171718	171667;172116	-;-	675	1211
CLENT_008025-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19	172536;173099;173299;173420	173050;173240;173366;173483	-;-;-;-	789	189
CLENT_008026-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	174165;175213;175642;175830;177097	175166;175592;175780;177023;177431	-;-;-;-;-	3050	0
CLENT_008026-T2	scaffold_19;scaffold_19;scaffold_19;scaffold_19	174165;175642;175830;177097	175592;175780;177023;177431	-;-;-;-	3096	0
CLENT_008027-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	177378;177482;177663;177785;177978	177431;177619;177741;177922;178168	+;+;+;+;+	600	273
CLENT_008028-T1	scaffold_19;scaffold_19;scaffold_19	178300;178600;178772	178545;178724;178802	+;+;+	402	828
CLENT_008029-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19	178857;178935;179217;179454	178889;179174;179395;179511	+;+;+;+	510	1875
CLENT_008032-T1	scaffold_19	187487	188194	-	708	1020
CLENT_008034-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19	188415;189655;189885;190607	189602;189827;190557;190784	-;-;-;-	2212	0
CLENT_008034-T2	scaffold_19;scaffold_19;scaffold_19	188415;189885;190607	189827;190557;190784	-;-;-	2264	0
CLENT_008033-T1	scaffold_19;scaffold_19	188446;189426	189289;189514	+;+	933	0
CLENT_008035-T1	scaffold_19;scaffold_19	191034;191732	191662;192606	-;-	1504	14101
CLENT_008037-T1	scaffold_19;scaffold_19	192665;194119	194071;194398	-;-	1687	59330
CLENT_008038-T1	scaffold_19;scaffold_19;scaffold_19	194548;194950;195460	194900;195420;196119	+;+;+	1484	0
CLENT_008038-T2	scaffold_19;scaffold_19;scaffold_19;scaffold_19	194548;194803;194950;195460	194762;194900;195420;196119	+;+;+;+	1444	0
CLENT_008039-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	195920;196082;196241;196402;196664;196891;197106	196036;196189;196354;196524;196840;197031;197171	-;-;-;-;-;-;-	846	967
CLENT_008041-T1	scaffold_19;scaffold_19;scaffold_19	197310;198234;198485	198190;198440;198666	-;-;-	1270	1564
CLENT_008040-T1	scaffold_19	197487	198002	+	516	0
CLENT_008042-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	198683;199040;199241;199416;199603;200017;200285;201092	198988;199197;199362;199489;199975;200241;201045;201674	+;+;+;+;+;+;+;+	2602	0
CLENT_008042-T2	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	198683;199040;199241;199416;199603;200017;200285;201092;201444	198988;199197;199362;199489;199975;200241;201045;201390;201674	+;+;+;+;+;+;+;+;+	2549	0
CLENT_008043-T1	scaffold_19;scaffold_19	203356;203720	203677;204181	-;-	784	476
CLENT_008044-T1	scaffold_19;scaffold_19	204588;205437	205390;205914	-;-	1281	409
CLENT_008045-T1	scaffold_19;scaffold_19	206815;206917	206874;207282	-;-	426	1
CLENT_008046-T1	scaffold_19;scaffold_19;scaffold_19	208618;209396;209596	209345;209540;210069	+;+;+	1347	283
CLENT_008047-T1	scaffold_19;scaffold_19;scaffold_19	210954;211235;211413	211187;211363;211514	-;-;-	465	2460
CLENT_008140-T1	scaffold_19	212022	212103	+	82	0
CLENT_008049-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	212297;212544;212709;213060;213432;213722;213912;214107;214243;214498;214647;219042;219304	212494;212669;213012;213392;213674;213853;214066;214202;214302;214605;218991;219251;220484	+;+;+;+;+;+;+;+;+;+;+;+;+	7491	23443
CLENT_008050-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	220773;220891;220969;221065;221282;221639;221933;222159	220848;220918;221019;221239;221597;221891;222118;222315	+;+;+;+;+;+;+;+	1242	158
CLENT_008051-T1	scaffold_19	230863	231846	+	984	83
CLENT_008052-T1	scaffold_19;scaffold_19	233570;233813	233769;234247	+;+	635	1152
CLENT_008053-T1	scaffold_19;scaffold_19	234229;234958	234839;236233	+;+	1887	15632
CLENT_008055-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19	236234;237183;237292;237653	237135;237251;237600;237843	-;-;-;-	1471	4042
CLENT_008054-T1	scaffold_19;scaffold_19	236327;236455	236401;236697	+;+	318	0
CLENT_008056-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	237833;238152;238461;238578;238691;238909;239112;239272	238101;238411;238532;238639;238856;239063;239223;239828	+;+;+;+;+;+;+;+	1653	17308
CLENT_008057-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	239881;240119;240288;240581;240952;241175;241418;241612	240078;240244;240537;240844;241145;241375;241564;241875	+;+;+;+;+;+;+;+	1644	18
CLENT_008058-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19	242199;242477;242620;242896	242427;242572;242840;243518	+;+;+;+	1169	1565
CLENT_008059-T1	scaffold_19;scaffold_19	244519;244900	244881;245520	+;+	984	0
CLENT_008060-T1	scaffold_19;scaffold_19;scaffold_19	252591;252801;252977	252743;252923;253297	-;-;-	597	3657
CLENT_008061-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	254780;255323;255708;255953;256252;256460	255278;255660;255909;256210;256406;256512	-;-;-;-;-;-	1505	0
CLENT_008061-T2	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	254780;255708;255953;256252;256460	255660;255909;256210;256406;256512	-;-;-;-;-	1549	0
CLENT_008062-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	256799;256897;257049;257251;257909;258260;258481	256846;256998;257208;257852;258139;258428;258695	+;+;+;+;+;+;+	1527	182
CLENT_008063-T1	scaffold_19;scaffold_19;scaffold_19	258917;259119;259268	259066;259223;259666	-;-;-	654	4040
CLENT_008066-T1	scaffold_19	259904	265952	-	6049	4774
CLENT_008064-T1	scaffold_19;scaffold_19	259992;260930	260887;261161	+;+	1128	0
CLENT_008065-T1	scaffold_19;scaffold_19;scaffold_19	261533;261982;262070	261936;262011;262895	+;+;+	1260	0
CLENT_008067-T1	scaffold_19;scaffold_19;scaffold_19	266463;266607;266982	266566;266937;267002	-;-;-	456	21
CLENT_008068-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	267042;267181;267396;267658;267977	267134;267347;267607;267931;267998	-;-;-;-;-	768	3
CLENT_008069-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19	268052;268216;268355;268662	268171;268311;268618;268973	+;+;+;+	792	248
CLENT_008070-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	269042;269353;269507;269717;270132	269304;269457;269662;270093;270620	+;+;+;+;+	1390	0
CLENT_008070-T2	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	269042;269233;269353;269507;269717	269174;269304;269457;269662;270620	+;+;+;+;+	1370	0
CLENT_008070-T3	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	269042;269233;269353;269507;269717;270132	269174;269304;269457;269662;270093;270620	+;+;+;+;+;+	1332	0
CLENT_008071-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	271374;271452;271768;272095;272361;272496;272905	271409;271721;272052;272199;272445;272851;272940	-;-;-;-;-;-;-	1173	694
CLENT_008072-T1	scaffold_19;scaffold_19;scaffold_19	273378;273833;275349	273454;275294;276779	-;-;-	2970	492
CLENT_008073-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	277268;277406;277550;277651;278236;278669	277346;277503;277600;278184;278619;278764	+;+;+;+;+;+	1242	1
CLENT_008074-T1	scaffold_19;scaffold_19;scaffold_19	278771;279198;279734	279145;279686;280312	+;+;+	1443	1
CLENT_008075-T1	scaffold_19	280358	280768	-	411	1
CLENT_008076-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19	280908;281116;281729;282108	281073;281499;282060;282206	+;+;+;+	981	805
CLENT_008077-T1	scaffold_19;scaffold_19	282331;282734	282689;283062	-;-	688	1774
CLENT_008078-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	282941;283113;283229;283543;283649;283820	282986;283189;283499;283606;283779;284007	+;+;+;+;+;+	777	1210
CLENT_008079-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19	285078;285436;286101;286275	285278;286021;286218;286692	-;-;-;-	1323	782
CLENT_008080-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	289601;289698;289788;289950;290075	289645;289743;289897;290029;290153	-;-;-;-;-	360	1113
CLENT_008081-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19	290732;291515;291690;291865	290994;291571;291816;294279	+;+;+;+	2862	45233
CLENT_008082-T1	scaffold_19;scaffold_19	295511;295611	295550;297514	+;+	1944	21217
CLENT_008083-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	298049;298270;298437;298659;298866;298962;299076;299199	298213;298386;298607;298823;298919;299033;299156;299234	+;+;+;+;+;+;+;+	861	794
CLENT_008084-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	299366;299503;299658;299784;299949;300213;300343	299462;299615;299720;299897;300170;300297;300479	+;+;+;+;+;+;+	831	485
CLENT_008085-T1	scaffold_19;scaffold_19	300661;300857	300820;301893	+;+	1197	1273
CLENT_008086-T1	scaffold_19;scaffold_19	302460;303575	303462;303732	-;-	1161	8727
CLENT_008087-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	303978;304815;305058;305179;305342;305492;305692	304769;305011;305125;305287;305432;305631;306881	+;+;+;+;+;+;+	2587	8341
CLENT_008088-T1	scaffold_19;scaffold_19;scaffold_19	306542;307278;307650	307233;307602;307798	-;-;-	1166	0
CLENT_008090-T1	scaffold_19;scaffold_19	308308;312845	312799;313367	-;-	5015	8
CLENT_008089-T1	scaffold_19	308533	313367	+	4835	0
CLENT_008091-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	313458;313704;313840;313961;314148;314286	313648;313784;313913;314100;314234;314655	+;+;+;+;+;+	943	17645
CLENT_008092-T1	scaffold_19	314691	316388	+	1698	210221
CLENT_008093-T1	scaffold_19;scaffold_19	315711;316166	316121;316222	-;-	468	0
CLENT_008094-T1	scaffold_19;scaffold_19	316634;316777	316725;318661	+;+	1977	4276
CLENT_008095-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	318708;318959;319177;319291;319390;319580;319706;319892	318910;319135;319249;319345;319530;319662;319843;320137	+;+;+;+;+;+;+;+	1116	260
CLENT_008096-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19	319838;320516;320662;321046	320468;320615;321009;321293	-;-;-;-	1327	3792
CLENT_008097-T1	scaffold_19;scaffold_19	322001;323203	323145;323383	-;-	1326	16364
CLENT_008098-T1	scaffold_19;scaffold_19;scaffold_19	323830;323955;324125	323902;324061;324199	-;-;-	255	1971
CLENT_008099-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	324765;324838;325053;325295;325432;325596	324791;325009;325249;325391;325553;325661	-;-;-;-;-;-	681	2564
CLENT_008100-T1	scaffold_19	325744	328204	+	2461	9173
CLENT_008101-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	327239;327636;327856;327971;328084;328195;328345;328507;328727;328811;328906;329112;329188;329288	327592;327805;327922;328043;328150;328294;328463;328672;328765;328849;329067;329147;329238;329302	-;-;-;-;-;-;-;-;-;-;-;-;-;-	1458	1083
CLENT_008102-T1	scaffold_19;scaffold_19;scaffold_19	329617;329770;330053	329757;330003;330118	+;+;+	441	113
CLENT_008103-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19	330838;331281;331492;331720	331230;331450;331666;331860	+;+;+;+	879	1254
CLENT_008104-T1	scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19;scaffold_19	332457;332949;333333;333536;333873;335755	332664;333282;333484;333829;335695;338020	+;+;+;+;+;+	5077	3244
CLENT_008105-T1	scaffold_19	336542	337777	-	1236	0
CLENT_008106-T1	scaffold_19;scaffold_19;scaffold_19	345289;345542;345740	345491;345701;346310	+;+;+	934	9108
